"year","zone","school","ratio"
"2010-2011","S01001876","Secondary","85.65"
"2007-2008","S01001876","Secondary","89.59"
"2003-2004","S01001876","Secondary","86.34"
"2010-2011","S01001876","Primary","91.04"
"2008-2009","S01001876","Primary","92.89"
"2009-2010","S01001876","Primary","93.27"
"2003-2004","S01001876","Primary","94.14"
"2004-2005","S01001876","Primary","95.14"
"2005-2006","S01001876","Primary","95.14"
"2006-2007","S01001876","Primary","96.16"
"2007-2008","S01001876","Primary","92.65"
"2009-2010","S01001877","Secondary","86.48"
"2004-2005","S01001877","Secondary","86.81"
"2005-2006","S01001877","Secondary","86.81"
"2008-2009","S01001877","Secondary","84.51"
"2006-2007","S01001877","Secondary","86.81"
"2010-2011","S01001877","Secondary","89.41"
"2007-2008","S01001877","Secondary","85.09"
"2003-2004","S01001877","Secondary","91.76"
"2010-2011","S01001877","Primary","92.03"
"2008-2009","S01001877","Primary","92.32"
"2009-2010","S01001877","Primary","93.29"
"2003-2004","S01001877","Primary","92.22"
"2004-2005","S01001877","Primary","92.22"
"2005-2006","S01001877","Primary","92.22"
"2006-2007","S01001877","Primary","90.53"
"2007-2008","S01001877","Primary","93.67"
"2009-2010","S01001878","Secondary","94.89"
"2004-2005","S01001878","Secondary","93.62"
"2005-2006","S01001878","Secondary","93.62"
"2008-2009","S01001878","Secondary","95.07"
"2006-2007","S01001878","Secondary","95.38"
"2010-2011","S01001878","Secondary","95.64"
"2007-2008","S01001878","Secondary","94.58"
"2003-2004","S01001878","Secondary","93.73"
"2010-2011","S01001878","Primary","97.33"
"2008-2009","S01001878","Primary","97.12"
"2009-2010","S01001878","Primary","97.2"
"2003-2004","S01001878","Primary","97.55"
"2004-2005","S01001878","Primary","97.81"
"2005-2006","S01001878","Primary","97.81"
"2006-2007","S01001878","Primary","98.48"
"2007-2008","S01001878","Primary","98.18"
"2009-2010","S01001879","Secondary","86.33"
"2004-2005","S01001879","Secondary","82.66"
"2005-2006","S01001879","Secondary","82.66"
"2008-2009","S01001879","Secondary","82.99"
"2006-2007","S01001879","Secondary","87.97"
"2010-2011","S01001879","Secondary","86.58"
"2007-2008","S01001879","Secondary","89.05"
"2003-2004","S01001879","Secondary","80.64"
"2010-2011","S01001879","Primary","88.88"
"2008-2009","S01001879","Primary","91.77"
"2009-2010","S01001879","Primary","89.2"
"2003-2004","S01001879","Primary","89.74"
"2004-2005","S01001879","Primary","91.89"
"2005-2006","S01001879","Primary","91.89"
"2006-2007","S01001879","Primary","92.14"
"2007-2008","S01001879","Primary","91.76"
"2009-2010","S01001880","Secondary","86.55"
"2004-2005","S01001880","Secondary","87.28"
"2005-2006","S01001880","Secondary","87.28"
"2008-2009","S01001880","Secondary","85.17"
"2006-2007","S01001880","Secondary","87.43"
"2010-2011","S01001880","Secondary","87.14"
"2007-2008","S01001880","Secondary","83.99"
"2003-2004","S01001880","Secondary","89.23"
"2010-2011","S01001880","Primary","92.81"
"2008-2009","S01001880","Primary","91.92"
"2009-2010","S01001880","Primary","93.08"
"2003-2004","S01001880","Primary","89.54"
"2004-2005","S01001880","Primary","91.08"
"2005-2006","S01001880","Primary","91.08"
"2006-2007","S01001880","Primary","90.07"
"2007-2008","S01001880","Primary","92.03"
"2009-2010","S01001881","Secondary","96.15"
"2004-2005","S01001881","Secondary","94.19"
"2005-2006","S01001881","Secondary","94.19"
"2008-2009","S01001881","Secondary","96.37"
"2006-2007","S01001881","Secondary","95.96"
"2010-2011","S01001881","Secondary","94.29"
"2007-2008","S01001881","Secondary","94.67"
"2003-2004","S01001881","Secondary","93.79"
"2010-2011","S01001881","Primary","95.13"
"2008-2009","S01001881","Primary","96.4"
"2009-2010","S01001881","Primary","95.94"
"2003-2004","S01001881","Primary","97.52"
"2004-2005","S01001881","Primary","96.8"
"2005-2006","S01001881","Primary","96.8"
"2006-2007","S01001881","Primary","97.03"
"2007-2008","S01001881","Primary","96.62"
"2009-2010","S01001882","Secondary","92.15"
"2004-2005","S01001882","Secondary","87.62"
"2005-2006","S01001882","Secondary","87.62"
"2008-2009","S01001882","Secondary","91.12"
"2006-2007","S01001882","Secondary","89.79"
"2010-2011","S01001882","Secondary","91.29"
"2007-2008","S01001882","Secondary","92.99"
"2003-2004","S01001882","Secondary","89.31"
"2010-2011","S01001882","Primary","90.89"
"2008-2009","S01001882","Primary","93.3"
"2009-2010","S01001882","Primary","92.65"
"2003-2004","S01001882","Primary","94.5"
"2004-2005","S01001882","Primary","93.87"
"2005-2006","S01001882","Primary","93.87"
"2006-2007","S01001882","Primary","94.48"
"2007-2008","S01001882","Primary","93.7"
"2009-2010","S01001883","Secondary","93.62"
"2004-2005","S01001883","Secondary","97.3"
"2005-2006","S01001883","Secondary","97.3"
"2008-2009","S01001883","Secondary","93.34"
"2006-2007","S01001883","Secondary","94.18"
"2010-2011","S01001883","Secondary","91.7"
"2007-2008","S01001883","Secondary","96.28"
"2003-2004","S01001883","Secondary","93.38"
"2010-2011","S01001883","Primary","97.9"
"2008-2009","S01001883","Primary","97.32"
"2009-2010","S01001883","Primary","98.02"
"2003-2004","S01001883","Primary","95.57"
"2004-2005","S01001883","Primary","95.35"
"2005-2006","S01001883","Primary","95.35"
"2006-2007","S01001883","Primary","96.5"
"2007-2008","S01001883","Primary","97.19"
"2009-2010","S01001884","Secondary","89.2"
"2004-2005","S01001884","Secondary","87.25"
"2005-2006","S01001884","Secondary","87.25"
"2008-2009","S01001884","Secondary","90.18"
"2006-2007","S01001884","Secondary","86.51"
"2010-2011","S01001884","Secondary","88.77"
"2007-2008","S01001884","Secondary","87.56"
"2003-2004","S01001884","Secondary","86.74"
"2010-2011","S01001884","Primary","92.83"
"2008-2009","S01001884","Primary","91.72"
"2009-2010","S01001884","Primary","92.69"
"2003-2004","S01001884","Primary","93.66"
"2004-2005","S01001884","Primary","91.27"
"2005-2006","S01001884","Primary","91.27"
"2006-2007","S01001884","Primary","94.05"
"2007-2008","S01001884","Primary","93.82"
"2009-2010","S01001885","Secondary","92.05"
"2004-2005","S01001885","Secondary","90.7"
"2005-2006","S01001885","Secondary","90.7"
"2008-2009","S01001885","Secondary","93.57"
"2006-2007","S01001885","Secondary",93
"2010-2011","S01001885","Secondary","93.57"
"2007-2008","S01001885","Secondary","93.21"
"2003-2004","S01001885","Secondary","94.98"
"2010-2011","S01001885","Primary","97.84"
"2008-2009","S01001885","Primary","97.18"
"2009-2010","S01001885","Primary","96.55"
"2003-2004","S01001885","Primary","96.99"
"2004-2005","S01001885","Primary","97.01"
"2005-2006","S01001885","Primary","97.01"
"2006-2007","S01001885","Primary","96.83"
"2007-2008","S01001885","Primary","97.15"
"2009-2010","S01001886","Secondary","87.75"
"2004-2005","S01001886","Secondary","83.71"
"2005-2006","S01001886","Secondary","83.71"
"2008-2009","S01001886","Secondary","82.36"
"2006-2007","S01001886","Secondary","84.13"
"2010-2011","S01001886","Secondary","86.33"
"2007-2008","S01001886","Secondary","81.45"
"2003-2004","S01001886","Secondary","90.75"
"2010-2011","S01001886","Primary","90.94"
"2008-2009","S01001886","Primary","93.25"
"2009-2010","S01001886","Primary","93.42"
"2003-2004","S01001886","Primary","90.48"
"2004-2005","S01001886","Primary","90.14"
"2005-2006","S01001886","Primary","90.14"
"2006-2007","S01001886","Primary","85.87"
"2007-2008","S01001886","Primary","90.73"
"2009-2010","S01001887","Secondary","89.44"
"2004-2005","S01001887","Secondary","84.34"
"2005-2006","S01001887","Secondary","84.34"
"2008-2009","S01001887","Secondary","86.31"
"2006-2007","S01001887","Secondary","90.46"
"2010-2011","S01001887","Secondary","90.7"
"2007-2008","S01001887","Secondary","89.75"
"2003-2004","S01001887","Secondary","88.62"
"2010-2011","S01001887","Primary","97.48"
"2008-2009","S01001887","Primary","97.67"
"2009-2010","S01001887","Primary","96.59"
"2003-2004","S01001887","Primary","96.05"
"2004-2005","S01001887","Primary","95.78"
"2005-2006","S01001887","Primary","95.78"
"2006-2007","S01001887","Primary","99.38"
"2007-2008","S01001887","Primary","95.98"
"2009-2010","S01001888","Secondary","97.68"
"2004-2005","S01001888","Secondary","96.13"
"2005-2006","S01001888","Secondary","96.13"
"2008-2009","S01001888","Secondary","95.33"
"2006-2007","S01001888","Secondary","94.82"
"2010-2011","S01001888","Secondary","95.76"
"2007-2008","S01001888","Secondary","95.96"
"2003-2004","S01001888","Secondary","96.73"
"2010-2011","S01001888","Primary","97.19"
"2008-2009","S01001888","Primary","97.23"
"2009-2010","S01001888","Primary","96.25"
"2003-2004","S01001888","Primary","97.56"
"2004-2005","S01001888","Primary","97.53"
"2005-2006","S01001888","Primary","97.53"
"2006-2007","S01001888","Primary","97.25"
"2007-2008","S01001888","Primary","97.37"
"2009-2010","S01001889","Secondary","91.9"
"2004-2005","S01001889","Secondary","93.06"
"2005-2006","S01001889","Secondary","93.06"
"2008-2009","S01001889","Secondary","91.29"
"2006-2007","S01001889","Secondary","93.21"
"2010-2011","S01001889","Secondary","91.97"
"2007-2008","S01001889","Secondary","92.01"
"2003-2004","S01001889","Secondary","94.15"
"2010-2011","S01001889","Primary","94.71"
"2008-2009","S01001889","Primary","93.75"
"2009-2010","S01001889","Primary","94.96"
"2003-2004","S01001889","Primary","94.37"
"2004-2005","S01001889","Primary","94.58"
"2005-2006","S01001889","Primary","94.58"
"2006-2007","S01001889","Primary","96.61"
"2007-2008","S01001889","Primary","95.77"
"2009-2010","S01001890","Secondary","91.44"
"2004-2005","S01001890","Secondary","92.59"
"2005-2006","S01001890","Secondary","92.59"
"2008-2009","S01001890","Secondary","90.48"
"2006-2007","S01001890","Secondary","93.32"
"2010-2011","S01001890","Secondary","90.46"
"2007-2008","S01001890","Secondary","92.05"
"2003-2004","S01001890","Secondary","94.03"
"2010-2011","S01001890","Primary","93.03"
"2008-2009","S01001890","Primary","92.12"
"2009-2010","S01001890","Primary","93.12"
"2003-2004","S01001890","Primary","95.2"
"2004-2005","S01001890","Primary","94.56"
"2005-2006","S01001890","Primary","94.56"
"2006-2007","S01001890","Primary","94.09"
"2007-2008","S01001890","Primary","93.74"
"2009-2010","S01001891","Secondary","87.26"
"2004-2005","S01001891","Secondary","81.86"
"2005-2006","S01001891","Secondary","81.86"
"2008-2009","S01001891","Secondary","84.53"
"2006-2007","S01001891","Secondary","85.36"
"2010-2011","S01001891","Secondary","84.76"
"2007-2008","S01001891","Secondary","85.31"
"2003-2004","S01001891","Secondary","83.37"
"2010-2011","S01001891","Primary","91.92"
"2008-2009","S01001891","Primary","90.72"
"2009-2010","S01001891","Primary","91.41"
"2003-2004","S01001891","Primary","92.77"
"2004-2005","S01001891","Primary","92.52"
"2005-2006","S01001891","Primary","92.52"
"2006-2007","S01001891","Primary","92.92"
"2007-2008","S01001891","Primary","92.36"
"2009-2010","S01001892","Secondary","82.95"
"2004-2005","S01001892","Secondary","89.6"
"2005-2006","S01001892","Secondary","89.6"
"2008-2009","S01001892","Secondary","80.82"
"2006-2007","S01001892","Secondary","88.5"
"2010-2011","S01001892","Secondary","86.12"
"2007-2008","S01001892","Secondary","78.21"
"2003-2004","S01001892","Secondary","93.46"
"2010-2011","S01001892","Primary","92.37"
"2008-2009","S01001892","Primary","92.33"
"2009-2010","S01001892","Primary","93.58"
"2003-2004","S01001892","Primary","92.2"
"2004-2005","S01001892","Primary","92.65"
"2005-2006","S01001892","Primary","92.65"
"2006-2007","S01001892","Primary","92.98"
"2007-2008","S01001892","Primary","92.13"
"2009-2010","S01001893","Secondary","88.65"
"2004-2005","S01001893","Secondary","88.85"
"2005-2006","S01001893","Secondary","88.85"
"2008-2009","S01001893","Secondary","85.49"
"2006-2007","S01001893","Secondary","88.27"
"2010-2011","S01001893","Secondary","87.04"
"2007-2008","S01001893","Secondary","83.82"
"2003-2004","S01001893","Secondary","88.77"
"2010-2011","S01001893","Primary","92.68"
"2008-2009","S01001893","Primary","93.05"
"2009-2010","S01001893","Primary","94.31"
"2003-2004","S01001893","Primary","93.37"
"2004-2005","S01001893","Primary","93.39"
"2005-2006","S01001893","Primary","93.39"
"2006-2007","S01001893","Primary","91.96"
"2007-2008","S01001893","Primary","92.16"
"2009-2010","S01001894","Secondary","84.43"
"2004-2005","S01001894","Secondary","84.18"
"2005-2006","S01001894","Secondary","84.18"
"2008-2009","S01001894","Secondary","80.46"
"2006-2007","S01001894","Secondary","87.57"
"2010-2011","S01001894","Secondary","86.17"
"2007-2008","S01001894","Secondary","88.58"
"2003-2004","S01001894","Secondary","86.9"
"2010-2011","S01001894","Primary","91.43"
"2008-2009","S01001894","Primary","91.51"
"2009-2010","S01001894","Primary","93.05"
"2003-2004","S01001894","Primary","90.98"
"2004-2005","S01001894","Primary","90.45"
"2005-2006","S01001894","Primary","90.45"
"2006-2007","S01001894","Primary","91.59"
"2007-2008","S01001894","Primary","89.88"
"2009-2010","S01001895","Secondary","88.02"
"2004-2005","S01001895","Secondary","81.42"
"2005-2006","S01001895","Secondary","81.42"
"2008-2009","S01001895","Secondary","83.94"
"2006-2007","S01001895","Secondary","84.36"
"2010-2011","S01001895","Secondary","85.15"
"2007-2008","S01001895","Secondary","87.37"
"2003-2004","S01001895","Secondary","79.76"
"2010-2011","S01001895","Primary","91.61"
"2008-2009","S01001895","Primary","93.52"
"2009-2010","S01001895","Primary","92.46"
"2003-2004","S01001895","Primary","92.67"
"2004-2005","S01001895","Primary","92.37"
"2005-2006","S01001895","Primary","92.37"
"2006-2007","S01001895","Primary","92.53"
"2007-2008","S01001895","Primary","91.54"
"2009-2010","S01001896","Secondary","95.07"
"2004-2005","S01001896","Secondary","92.99"
"2005-2006","S01001896","Secondary","92.99"
"2008-2009","S01001896","Secondary","93.11"
"2006-2007","S01001896","Secondary","94.07"
"2010-2011","S01001896","Secondary","94.77"
"2007-2008","S01001896","Secondary","92.42"
"2003-2004","S01001896","Secondary","91.81"
"2010-2011","S01001896","Primary","98.35"
"2008-2009","S01001896","Primary","97.64"
"2009-2010","S01001896","Primary","97.94"
"2003-2004","S01001896","Primary","97.84"
"2004-2005","S01001896","Primary","97.54"
"2005-2006","S01001896","Primary","97.54"
"2006-2007","S01001896","Primary","97.3"
"2007-2008","S01001896","Primary","97.63"
"2009-2010","S01001897","Secondary","86.29"
"2004-2005","S01001897","Secondary","85.83"
"2005-2006","S01001897","Secondary","85.83"
"2008-2009","S01001897","Secondary","85.3"
"2006-2007","S01001897","Secondary","88.41"
"2010-2011","S01001897","Secondary","85.88"
"2007-2008","S01001897","Secondary","86.28"
"2003-2004","S01001897","Secondary","88.37"
"2010-2011","S01001897","Primary","90.63"
"2008-2009","S01001897","Primary","91.43"
"2009-2010","S01001897","Primary","90.46"
"2003-2004","S01001897","Primary","92.59"
"2004-2005","S01001897","Primary","90.42"
"2005-2006","S01001897","Primary","90.42"
"2006-2007","S01001897","Primary","92.07"
"2007-2008","S01001897","Primary","91.7"
"2009-2010","S01001898","Secondary","87.59"
"2004-2005","S01001898","Secondary","83.41"
"2005-2006","S01001898","Secondary","83.41"
"2008-2009","S01001898","Secondary","74.39"
"2006-2007","S01001898","Secondary","86.07"
"2010-2011","S01001898","Secondary","88.7"
"2007-2008","S01001898","Secondary","82.44"
"2003-2004","S01001898","Secondary","89.84"
"2010-2011","S01001898","Primary","94.77"
"2008-2009","S01001898","Primary","94.04"
"2009-2010","S01001898","Primary","94.05"
"2003-2004","S01001898","Primary","94.39"
"2004-2005","S01001898","Primary","93.57"
"2005-2006","S01001898","Primary","93.57"
"2006-2007","S01001898","Primary","94.71"
"2007-2008","S01001898","Primary","94.55"
"2009-2010","S01001899","Secondary","91.68"
"2004-2005","S01001899","Secondary","91.44"
"2005-2006","S01001899","Secondary","91.44"
"2008-2009","S01001899","Secondary","89.62"
"2006-2007","S01001899","Secondary","93.34"
"2010-2011","S01001899","Secondary","89.03"
"2007-2008","S01001899","Secondary","89.97"
"2003-2004","S01001899","Secondary","90.78"
"2010-2011","S01001899","Primary","93.57"
"2008-2009","S01001899","Primary","95.52"
"2009-2010","S01001899","Primary","95.13"
"2003-2004","S01001899","Primary","94.49"
"2004-2005","S01001899","Primary","94.2"
"2005-2006","S01001899","Primary","94.2"
"2006-2007","S01001899","Primary","95.97"
"2007-2008","S01001899","Primary","94.87"
"2009-2010","S01001900","Secondary","92.79"
"2004-2005","S01001900","Secondary","91.99"
"2005-2006","S01001900","Secondary","91.99"
"2008-2009","S01001900","Secondary","92.76"
"2006-2007","S01001900","Secondary","91.12"
"2010-2011","S01001900","Secondary","91.53"
"2007-2008","S01001900","Secondary","92.05"
"2003-2004","S01001900","Secondary","93.7"
"2010-2011","S01001900","Primary","94.37"
"2008-2009","S01001900","Primary","96.35"
"2009-2010","S01001900","Primary",96
"2003-2004","S01001900","Primary","96.01"
"2004-2005","S01001900","Primary","96.38"
"2005-2006","S01001900","Primary","96.38"
"2006-2007","S01001900","Primary","96.4"
"2007-2008","S01001900","Primary","96.08"
"2009-2010","S01001901","Secondary","94.52"
"2004-2005","S01001901","Secondary","94.48"
"2005-2006","S01001901","Secondary","94.48"
"2008-2009","S01001901","Secondary","92.95"
"2006-2007","S01001901","Secondary","92.61"
"2010-2011","S01001901","Secondary","94.54"
"2007-2008","S01001901","Secondary","92.44"
"2003-2004","S01001901","Secondary","93.9"
"2010-2011","S01001901","Primary","97.47"
"2008-2009","S01001901","Primary","97.68"
"2009-2010","S01001901","Primary","97.27"
"2003-2004","S01001901","Primary","97.57"
"2004-2005","S01001901","Primary","97.18"
"2005-2006","S01001901","Primary","97.18"
"2006-2007","S01001901","Primary","98.28"
"2007-2008","S01001901","Primary","97.95"
"2009-2010","S01001902","Secondary","92.32"
"2004-2005","S01001902","Secondary","92.74"
"2005-2006","S01001902","Secondary","92.74"
"2008-2009","S01001902","Secondary","92.85"
"2006-2007","S01001902","Secondary","92.23"
"2010-2011","S01001902","Secondary","95.12"
"2007-2008","S01001902","Secondary","90.51"
"2003-2004","S01001902","Secondary","91.12"
"2010-2011","S01001902","Primary","96.79"
"2008-2009","S01001902","Primary","97.26"
"2009-2010","S01001902","Primary","96.26"
"2003-2004","S01001902","Primary","97.1"
"2004-2005","S01001902","Primary","97.44"
"2005-2006","S01001902","Primary","97.44"
"2006-2007","S01001902","Primary","97.71"
"2007-2008","S01001902","Primary","97.04"
"2009-2010","S01001903","Secondary","84.19"
"2004-2005","S01001903","Secondary","87.61"
"2005-2006","S01001903","Secondary","87.61"
"2008-2009","S01001903","Secondary","85.66"
"2006-2007","S01001903","Secondary","87.84"
"2010-2011","S01001903","Secondary","89.18"
"2007-2008","S01001903","Secondary","87.78"
"2003-2004","S01001903","Secondary","86.62"
"2010-2011","S01001903","Primary","90.86"
"2008-2009","S01001903","Primary","89.95"
"2009-2010","S01001903","Primary","91.46"
"2003-2004","S01001903","Primary","92.53"
"2004-2005","S01001903","Primary","91.97"
"2005-2006","S01001903","Primary","91.97"
"2006-2007","S01001903","Primary","93.24"
"2007-2008","S01001903","Primary","90.94"
"2009-2010","S01001904","Secondary","91.73"
"2004-2005","S01001904","Secondary","85.51"
"2005-2006","S01001904","Secondary","85.51"
"2008-2009","S01001904","Secondary","91.46"
"2006-2007","S01001904","Secondary","91.29"
"2010-2011","S01001904","Secondary","89.34"
"2007-2008","S01001904","Secondary","91.42"
"2003-2004","S01001904","Secondary","85.37"
"2010-2011","S01001904","Primary","91.83"
"2008-2009","S01001904","Primary","94.73"
"2009-2010","S01001904","Primary","91.66"
"2003-2004","S01001904","Primary","95.1"
"2004-2005","S01001904","Primary","95.6"
"2005-2006","S01001904","Primary","95.6"
"2006-2007","S01001904","Primary","94.95"
"2007-2008","S01001904","Primary","94.6"
"2009-2010","S01001905","Secondary","94.86"
"2004-2005","S01001905","Secondary","94.31"
"2005-2006","S01001905","Secondary","94.31"
"2008-2009","S01001905","Secondary","93.42"
"2006-2007","S01001905","Secondary","94.13"
"2010-2011","S01001905","Secondary","95.29"
"2007-2008","S01001905","Secondary","95.52"
"2003-2004","S01001905","Secondary","95.59"
"2010-2011","S01001905","Primary","95.81"
"2008-2009","S01001905","Primary","97.18"
"2009-2010","S01001905","Primary","97.34"
"2003-2004","S01001905","Primary","97.59"
"2004-2005","S01001905","Primary","97.98"
"2005-2006","S01001905","Primary","97.98"
"2006-2007","S01001905","Primary","97.81"
"2007-2008","S01001905","Primary","97.73"
"2009-2010","S01001906","Secondary","79.33"
"2004-2005","S01001906","Secondary","76.41"
"2005-2006","S01001906","Secondary","76.41"
"2008-2009","S01001906","Secondary","82.55"
"2006-2007","S01001906","Secondary","86.19"
"2010-2011","S01001906","Secondary","85.03"
"2007-2008","S01001906","Secondary","84.67"
"2003-2004","S01001906","Secondary","78.86"
"2010-2011","S01001906","Primary","90.59"
"2008-2009","S01001906","Primary","92.44"
"2009-2010","S01001906","Primary","91.12"
"2003-2004","S01001906","Primary","90.21"
"2004-2005","S01001906","Primary","90.02"
"2005-2006","S01001906","Primary","90.02"
"2006-2007","S01001906","Primary","90.86"
"2007-2008","S01001906","Primary","92.32"
"2009-2010","S01001907","Secondary","89.32"
"2004-2005","S01001907","Secondary","86.24"
"2005-2006","S01001907","Secondary","86.24"
"2008-2009","S01001907","Secondary","87.45"
"2006-2007","S01001907","Secondary","87.08"
"2010-2011","S01001907","Secondary","88.21"
"2007-2008","S01001907","Secondary","88.91"
"2003-2004","S01001907","Secondary","84.49"
"2010-2011","S01001907","Primary","93.56"
"2008-2009","S01001907","Primary","93.21"
"2009-2010","S01001907","Primary","92.78"
"2003-2004","S01001907","Primary","93.37"
"2004-2005","S01001907","Primary","93.29"
"2005-2006","S01001907","Primary","93.29"
"2006-2007","S01001907","Primary","95.25"
"2007-2008","S01001907","Primary","94.34"
"2009-2010","S01001908","Secondary","94.17"
"2004-2005","S01001908","Secondary","95.12"
"2005-2006","S01001908","Secondary","95.12"
"2008-2009","S01001908","Secondary","93.22"
"2006-2007","S01001908","Secondary","90.1"
"2010-2011","S01001908","Secondary","94.85"
"2007-2008","S01001908","Secondary","94.48"
"2003-2004","S01001908","Secondary","94.32"
"2010-2011","S01001908","Primary","96.47"
"2008-2009","S01001908","Primary","96.68"
"2009-2010","S01001908","Primary","96.85"
"2003-2004","S01001908","Primary","96.49"
"2004-2005","S01001908","Primary","96.64"
"2005-2006","S01001908","Primary","96.64"
"2006-2007","S01001908","Primary","95.85"
"2007-2008","S01001908","Primary","96.75"
"2009-2010","S01001909","Secondary","85.72"
"2004-2005","S01001909","Secondary","84.59"
"2005-2006","S01001909","Secondary","84.59"
"2008-2009","S01001909","Secondary","77.33"
"2006-2007","S01001909","Secondary","85.45"
"2010-2011","S01001909","Secondary","84.73"
"2007-2008","S01001909","Secondary","79.19"
"2003-2004","S01001909","Secondary","89.44"
"2010-2011","S01001909","Primary","91.1"
"2008-2009","S01001909","Primary","93.94"
"2009-2010","S01001909","Primary","91.62"
"2003-2004","S01001909","Primary","91.19"
"2004-2005","S01001909","Primary","90.86"
"2005-2006","S01001909","Primary","90.86"
"2006-2007","S01001909","Primary","90.3"
"2007-2008","S01001909","Primary",91
"2009-2010","S01001910","Secondary","91.6"
"2004-2005","S01001910","Secondary","92.81"
"2005-2006","S01001910","Secondary","92.81"
"2008-2009","S01001910","Secondary","89.31"
"2006-2007","S01001910","Secondary","93.63"
"2010-2011","S01001910","Secondary","89.33"
"2007-2008","S01001910","Secondary","90.75"
"2003-2004","S01001910","Secondary","93.21"
"2010-2011","S01001910","Primary","94.94"
"2008-2009","S01001910","Primary","94.5"
"2009-2010","S01001910","Primary","94.76"
"2003-2004","S01001910","Primary","94.86"
"2004-2005","S01001910","Primary","94.94"
"2005-2006","S01001910","Primary","94.94"
"2006-2007","S01001910","Primary","94.6"
"2007-2008","S01001910","Primary","93.69"
"2009-2010","S01001911","Secondary","95.33"
"2004-2005","S01001911","Secondary","96.02"
"2005-2006","S01001911","Secondary","96.02"
"2008-2009","S01001911","Secondary","93.87"
"2006-2007","S01001911","Secondary","93.99"
"2010-2011","S01001911","Secondary","95.85"
"2007-2008","S01001911","Secondary","93.59"
"2003-2004","S01001911","Secondary","95.16"
"2010-2011","S01001911","Primary","97.06"
"2008-2009","S01001911","Primary","97.64"
"2009-2010","S01001911","Primary","97.18"
"2003-2004","S01001911","Primary","97.48"
"2004-2005","S01001911","Primary","98.3"
"2005-2006","S01001911","Primary","98.3"
"2006-2007","S01001911","Primary","97.74"
"2007-2008","S01001911","Primary","98.07"
"2009-2010","S01001912","Secondary","92.16"
"2004-2005","S01001912","Secondary","91.57"
"2005-2006","S01001912","Secondary","91.57"
"2008-2009","S01001912","Secondary","91.4"
"2006-2007","S01001912","Secondary","91.52"
"2010-2011","S01001912","Secondary","93.14"
"2007-2008","S01001912","Secondary","89.07"
"2003-2004","S01001912","Secondary","93.02"
"2010-2011","S01001912","Primary","95.14"
"2008-2009","S01001912","Primary","95.45"
"2009-2010","S01001912","Primary","96.08"
"2003-2004","S01001912","Primary","95.91"
"2004-2005","S01001912","Primary","95.06"
"2005-2006","S01001912","Primary","95.06"
"2006-2007","S01001912","Primary","94.78"
"2007-2008","S01001912","Primary","95.88"
"2009-2010","S01001913","Secondary","88.59"
"2004-2005","S01001913","Secondary","93.2"
"2005-2006","S01001913","Secondary","93.2"
"2008-2009","S01001913","Secondary","91.63"
"2006-2007","S01001913","Secondary","93.01"
"2010-2011","S01001913","Secondary","88.03"
"2007-2008","S01001913","Secondary","92.9"
"2003-2004","S01001913","Secondary","92.24"
"2010-2011","S01001913","Primary","93.99"
"2008-2009","S01001913","Primary","95.28"
"2009-2010","S01001913","Primary","94.78"
"2003-2004","S01001913","Primary","95.35"
"2004-2005","S01001913","Primary","95.21"
"2005-2006","S01001913","Primary","95.21"
"2006-2007","S01001913","Primary","95.15"
"2007-2008","S01001913","Primary","94.18"
"2009-2010","S01001914","Secondary",94
"2004-2005","S01001914","Secondary","95.02"
"2005-2006","S01001914","Secondary","95.02"
"2008-2009","S01001914","Secondary","94.48"
"2006-2007","S01001914","Secondary","92.89"
"2010-2011","S01001914","Secondary","96.75"
"2007-2008","S01001914","Secondary","93.83"
"2003-2004","S01001914","Secondary","95.7"
"2010-2011","S01001914","Primary","97.24"
"2008-2009","S01001914","Primary","97.09"
"2009-2010","S01001914","Primary","96.88"
"2003-2004","S01001914","Primary","97.13"
"2004-2005","S01001914","Primary","96.56"
"2005-2006","S01001914","Primary","96.56"
"2006-2007","S01001914","Primary","97.33"
"2007-2008","S01001914","Primary","97.49"
"2009-2010","S01001915","Secondary","94.55"
"2004-2005","S01001915","Secondary","95.72"
"2005-2006","S01001915","Secondary","95.72"
"2008-2009","S01001915","Secondary","95.24"
"2006-2007","S01001915","Secondary","96.54"
"2010-2011","S01001915","Secondary","95.72"
"2007-2008","S01001915","Secondary","95.83"
"2003-2004","S01001915","Secondary","96.18"
"2010-2011","S01001915","Primary","96.88"
"2008-2009","S01001915","Primary","97.24"
"2009-2010","S01001915","Primary","97.03"
"2003-2004","S01001915","Primary","97.83"
"2004-2005","S01001915","Primary","97.29"
"2005-2006","S01001915","Primary","97.29"
"2006-2007","S01001915","Primary","97.13"
"2007-2008","S01001915","Primary","97.19"
"2009-2010","S01001916","Secondary","92.95"
"2004-2005","S01001916","Secondary","94.64"
"2005-2006","S01001916","Secondary","94.64"
"2008-2009","S01001916","Secondary","89.82"
"2006-2007","S01001916","Secondary","91.72"
"2010-2011","S01001916","Secondary","93.88"
"2007-2008","S01001916","Secondary","90.27"
"2003-2004","S01001916","Secondary","96.04"
"2010-2011","S01001916","Primary","97.41"
"2008-2009","S01001916","Primary","96.82"
"2009-2010","S01001916","Primary","96.6"
"2003-2004","S01001916","Primary","96.54"
"2004-2005","S01001916","Primary","96.75"
"2005-2006","S01001916","Primary","96.75"
"2006-2007","S01001916","Primary","97.45"
"2007-2008","S01001916","Primary","97.57"
